tokenAddress,CollectionName,Symbol,TokenStandard,TotalSupply,AveragePriceRecent,FloorPriceRecent,RecentTradesCollected,ContractAddress,Chain
0x910152fca5149a50967cc3f0816d269287681ef2,pumpkins,P,ERC1155,,1.92633e+20,1.88353e+20,10.0,,
0xd774557b647330c91bf44cfeab205095f7e6c367,Nakamigos,NKMGS,ERC721,,1.355068e+17,1.12e+17,10.0,,
0x797a48c46be32aafcedcfd3d8992493d8a1f256b,MintPassFactory,PASS,ERC1155,,5.754145e+16,2.613e+16,10.0,,
0x7f36182dee28c45de6072a34d29855bae76dbe2f,Wolf Game,WGAME,ERC721,,2.3985015e+17,1.55898e+17,10.0,,
0xad9fd7cb4fc7a0fbce08d64068f60cbde22ed34c,VOX Series 1,VOX,ERC721,,3.420735e+16,1.77885e+16,10.0,,
0xacf63e56fd08970b43401492a02f6f38b6635c91,Kanpai Pandas,YKPS,ERC721,,4.958569e+17,3.7386e+17,10.0,,
0x394e3d3044fc89fcdd966d3cb35ac0b32b0cda91,RENGA,RENGA,ERC721,,6.895828e+16,4.337439999999999e+16,10.0,,
0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51,WebbLand,WEBBLAND,ERC721,,3.80756e+16,1.81e+16,10.0,,
0xfe8c6d19365453d26af321d0e8c910428c23873f,Cold Blooded Creepz,CBC,ERC721,,1.51423e+18,9.9e+17,10.0,,
0x9378368ba6b85c1fba5b131b530f5f5bedf21a18,VeeFriends Series 2,VF2,ERC721,,8.26694e+16,6.4e+16,10.0,,
0x75e95ba5997eb235f40ecf8347cdb11f18ff640b,Psychedelics Anonymous Genesis,PA,ERC721,,4.51471e+16,3.84915e+16,10.0,,
0xedb61f74b0d09b2558f1eeb79b247c1f363ae452,,,ERC1155,,2.14899117e+17,1.00299e+17,10.0,,
0x08d7c0242953446436f34b4c78fe9da38c73668d,PROOF Collective,PROOF,ERC721,,3.03208205e+17,2.613e+17,10.0,,
0xa5c0bd78d1667c13bfb403e2a3336871396713c5,CoolmansUniverse,COOLMAN,ERC721,,8.22344e+16,1.97985e+16,10.0,,
0x59325733eb952a92e069c87f0a6168b29e80627f,Mocaverse,MOCA,ERC721,,1.29607499e+18,1.1859e+18,10.0,,
0xfcb1315c4273954f74cb16d5b663dbf479eec62e,Capsule,CAPSULE,ERC721,,8145000000000000.0,3316500000000000.0,10.0,,
0x60bb1e2aa1c9acafb4d34f71585d7e959f387769,Art Gobblers,GOBBLER,ERC721,,2.79563e+16,1.608e+16,10.0,,
0x09233d553058c2f42ba751c87816a8e9fae7ef10,My Pet Hooligan,MPH,ERC721,,1.3091297e+17,1.219999e+17,10.0,,
0x3af2a97414d1101e2107a70e7f33955da1346305,MysteryBean,MBEAN,ERC721,,6.2582065e+17,5.7e+17,10.0,,
0xaf1446a0a36f4190ef48b3aca9ac1e37361a1404,MyToken,TKN,ERC721,,2e+23,2e+23,1.0,,
0x3fe1a4c1481c8351e91b64d5c398b159de07cbc5,SupDucks,SD,ERC721,,1.65088e+16,1.29e+16,10.0,,
0xd532b88607b1877fe20c181cba2550e3bbd6b31c,SuperNormalbyZipcy,SUPERNORMAL,ERC721,,1.18639e+16,7738500000000000.0,10.0,,
0x4b15a9c28034dc83db40cd810001427d3bd7163d,HV-MTL,HV-MTL,ERC721,,1.7158999e+16,1.509799e+16,10.0,,
0x219b8ab790decc32444a6600971c7c3718252539,Sneaky Vampire Syndicate,SVS,ERC721,,1.44877e+16,1.4005e+16,10.0,,
0x596a5cd859ad53fec23cd3fcd77522f0b407920d,MATR1X KUKU,KUKU,ERC721,,1.722084e+17,2.211e+16,10.0,,
0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,Adam Bomb Squad,ABS,ERC721,,1.149883e+16,7336500000000000.0,10.0,,
0x7e6bc952d4b4bd814853301bee48e99891424de0,Jungle Freaks,JFRK,ERC721,,1.375335e+16,5527500000000000.0,10.0,,
0x3110ef5f612208724ca51f5761a69081809f03b7,Impostors Genesis,IMPOSTORS,ERC721,,2.99185e+17,2.399e+17,10.0,,
0xaadc2d4261199ce24a4b0a57370c4fcf43bb60aa,TheCurrency,TENDER,ERC721,,8.58370399e+17,7.38e+17,10.0,,
0x698fbaaca64944376e2cdc4cad86eaa91362cf54,Neo Tokyo: Outer Identities,NEOTOI,ERC721,,4.8387e+17,3e+17,10.0,,
0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f,Metroverse City Block,METROBLOCK,ERC721,,3201349500000000.0,2010000000000000.0,10.0,,
0x68aea268f92b715e073d2f5170039faa4b94a47b,Fantasy Islands - Sandbox ,ISLE ,ERC1155,,2.34637e+21,1.69e+19,10.0,,
0x36d30b3b85255473d27dd0f7fd8f35e36a9d6f06,,,ERC1155,,9836040000000004.0,2000000000000000.0,10.0,,
0xc3f733ca98e0dad0386979eb96fb1722a1a05e69,Acclimated​MoonCats,😺,ERC721,,2.3608453516e+17,1.3e+17,10.0,,
0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9,CryptoSkulls,CryptoSkulls,ERC721,,8.291459899e+16,6.9546e+16,10.0,,
0x236672ed575e1e479b8e101aeeb920f32361f6f9,Frontier,FRONTIER,ERC1155,,2.06875e+16,2600000000000000.0,10.0,,
0xef0182dc0574cd5874494a120750fd222fdb909a,RumbleKongLeague,RKL,ERC721,,1.61099735e+18,1e+16,10.0,,
0xb852c6b5892256c264cc2c888ea462189154d8d7,Rektguy,Rektguy,ERC721,,4.90920378e+17,4e+17,10.0,,
0x1792a96e5668ad7c167ab804a100ce42395ce54d,Moonbirds Oddities,ODDITIES,ERC721,,8.400688e+16,7.6179e+16,10.0,,
0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42,ForgottenRunesWizardsCult,WIZARDS,ERC721,,3.91199e+17,1.809e+17,10.0,,
0x7a376c1f8edf7ba7eb94a7438a8313a17d830ff8,ProjectKevins,KEVIN,ERC721,,3.6148e+16,2000000000000000.0,10.0,,
0xe75512aa3bec8f00434bbd6ad8b0a3fbff100ad6,MG Land,MGLand,ERC721,,1.517597e+16,2990900000000000.0,10.0,,
0x1b829b926a14634d36625e60165c0770c09d02b2,Treeverse,TRV,ERC721,,5.744033535e+16,5e+16,10.0,,
